Artist,Title,Rel. Date,GRC,Category
Dua Lipa,Dance The Night - From Barbie The Album,2023-05-25 00:00:00,93,Recurrent
David Guetta,Something To Hold On To (feat. Clementine Douglas),2023-07-28 00:00:00,63,Recurrent
Calvin Harris,Miracle (with Ellie Goulding),2023-03-10 00:00:00,84,Gold
Dua Lipa,If It Ain’t Me,2021-02-11 00:00:00,64,Gold
Sia,Unstoppable - R3HAB Remix,2022-07-08 00:00:00,74,Gold
Douwe Bob,Nothing To Lose,2024-02-14 00:00:00,52,A-List
Bob Sinclar,"World, Hold On - FISHER Rework",2022-07-08 00:00:00,63,Gold
Lost Frequencies,In Too Deep,2016-10-21 00:00:00,38,Gold
Post Malone,Hold My Breath,2023-07-28 00:00:00,60,Recurrent
Zara Larsson,You Love Who You Love,2024-02-09 00:00:00,71,Hot
