Artist,Title,Release Date,Popularity,Category
Kenya Grace,Strangers,2023-09-01 00:00:00,96,Recurrent
Dua Lipa,Dance The Night - From Barbie The Album,2023-05-25 00:00:00,93,Recurrent
Noah Kahan,Dial Drunk (with Post Malone),2023-07-18 00:00:00,88,Recurrent
Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),2023-10-26 00:00:00,87,Recurrent
Taylor Swift,Style (Taylor's Version),2023-10-26 00:00:00,86,Recurrent
Alok,Jungle,2023-09-22 00:00:00,83,Recurrent
Noah Kahan,She Calls Me Back (with Kacey Musgraves),2023-10-06 00:00:00,81,Recurrent
Alok,Car Keys (Ayla),2023-06-30 00:00:00,80,Recurrent
MEDUZA,Bad Memories,2023-10-13 00:00:00,80,Recurrent
Niall Horan,Heaven,2023-06-09 00:00:00,79,Recurrent
Cian Ducrot,I'll Be Waiting,2023-08-04 00:00:00,74,Recurrent
Lauren Spencer Smith,Bigger Person,2023-07-14 00:00:00,74,Recurrent
Nicolas Julian,Mask Off,2023-11-03 00:00:00,74,Recurrent
Son Mieux,Tonight,2023-10-12 00:00:00,73,Recurrent
Ava Max,Choose Your Fighter (From Barbie The Album),2023-07-21 00:00:00,73,Recurrent
Anne-Marie,UNHEALTHY (feat. Shania Twain),2023-07-28 00:00:00,72,Recurrent
Maddix,My Gasoline,2023-08-18 00:00:00,72,Recurrent
Lauren Spencer Smith,That Part,2023-07-14 00:00:00,71,Recurrent
Felix Jaehn,Past Life,2023-09-22 00:00:00,69,Recurrent
Christopher,A Beautiful Life (From the Netflix Film ‘A Beautiful Life’),2023-06-01 00:00:00,68,Recurrent
Braaheim,Tell Me Why,2023-08-24 00:00:00,66,Recurrent
Bea and her Business,Never Ever Love a Liar,2023-11-03 00:00:00,66,Recurrent
Mackenzy Mackay,Venus,2023-05-12 00:00:00,66,Recurrent
Hazlett,Missionary Feelings,2023-08-18 00:00:00,65,Recurrent
LIZOT,On The Move,2023-05-12 00:00:00,65,Recurrent
Michaël Brun,Coming Your Way (with Anne-Marie & Becky G),2023-08-16 00:00:00,65,Recurrent
The Blessed Madonna,Carry Me Higher - 7 Inch Version,2023-11-17 00:00:00,64,Recurrent
FISHER,Atmosphere,2023-08-11 00:00:00,63,Recurrent
David Guetta,Something To Hold On To (feat. Clementine Douglas),2023-07-28 00:00:00,63,Recurrent
Benson Boone,Lovely Darling,2023-05-05 00:00:00,63,Recurrent
James Blunt,Beside You,2023-10-27 00:00:00,62,Recurrent
Restricted,Sleepless (feat. GoldFord),2023-07-21 00:00:00,62,Recurrent
Mike Williams,Living On Video (feat. DTale),2023-06-23 00:00:00,61,Recurrent
Post Malone,Hold My Breath,2023-07-28 00:00:00,60,Recurrent
iann dior,You Don't Even,2023-09-08 00:00:00,60,Recurrent
Toby Romeo,Alive,2023-09-01 00:00:00,59,Recurrent
Lucas & Steve,What We Know (feat. Conor Byrne),2023-09-29 00:00:00,59,Recurrent
Turfy Gang,After van de After,2023-09-22 00:00:00,58,Recurrent
Robin Schulz,On Repeat,2023-08-25 00:00:00,58,Recurrent
Egzod,Royalty - Don Diablo Remix,2023-10-20 00:00:00,58,Recurrent
Winona Oak,Fire Escapes,2023-11-24 00:00:00,56,Recurrent
Coi Leray,Make My Day (with David Guetta),2023-06-23 00:00:00,56,Recurrent
Suriel Hess,Hair,2023-09-22 00:00:00,56,Recurrent
Duncan Laurence,I Do,2023-09-02 00:00:00,54,Recurrent
KANE,What Are You Waiting For?,2023-09-26 00:00:00,53,Recurrent
SERA,Best Friend,2023-07-21 00:00:00,53,Recurrent
EBEN,I feel so free,2023-11-17 00:00:00,53,Recurrent
Lucas & Steve,Best Of Me,2023-07-21 00:00:00,52,Recurrent
Marina Kaye,Why Do the Bad Things Feel Good,2023-10-06 00:00:00,52,Recurrent
Empress Of,Kiss Me (feat. Rina Sawayama),2023-09-25 00:00:00,52,Recurrent
Daniel Docherty,Just Say Aye,2023-10-20 00:00:00,51,Recurrent
James Arthur,Blindside - Acoustic,2023-09-01 00:00:00,49,Recurrent
CJ Stone,Come Down (Infinity) - Tek Mix,2023-09-08 00:00:00,48,Recurrent
Hannah Mae,Zonder,2023-05-11 00:00:00,47,Recurrent
ACRAZE,In A Dream,2023-07-07 00:00:00,45,Recurrent
Nick Schilder,Shatterproof - Acoustic,2023-09-08 00:00:00,42,Recurrent
Douwe Bob,Weight Of The World,2023-10-14 00:00:00,42,Recurrent
Numidia,The Shape I'm In,2023-10-14 00:00:00,41,Recurrent
